213142	1	0	0	0	8578.9
198890	0	0	0	1	9108.01
190144	1	0	0	1	9605.8
36889	1	0	0	0	9680.19
242031	1	0	0	1	9702.54
129367	0	0	0	1	9768.7
11401	0	0	0	1	9780.85
11403	0	0	0	1	9780.85
20702	0	0	0	1	9780.85
41541	0	0	0	1	9816.44
41545	0	0	0	1	9816.44
21512	1	0	0	0	9871.21
129775	1	0	0	0	9904.92
7231	0	0	0	1	9932.92
236174	0	0	0	1	9940.55
150044	1	0	0	0	10145.1
203927	1	0	0	0	10287
148741	0	0	0	1	10438.3
53938	0	0	0	1	10473.7
205840	0	0	0	1	10481.9
198582	0	0	0	1	10489.5
112127	0	0	0	1	10489.5
112146	0	0	0	1	10489.5
71525	1	0	0	0	10538.8
112124	0	0	0	1	10625.6
112131	0	0	0	1	10625.6
112135	0	0	0	1	10625.6
112139	0	0	0	1	10625.6
112141	0	0	0	1	10625.6
112143	0	0	0	1	10625.6
112149	0	0	0	1	10625.6
112153	0	0	0	1	10625.6
112157	0	0	0	1	10625.6
235164	0	0	0	1	10669.8
218555	1	0	0	0	10717.7
193391	0	0	0	1	10732.6
21481	0	0	0	1	10834.5
26077	0	0	0	1	10859.5
152142	1	0	0	0	10859.9
237375	0	0	0	1	10915.3
215230	0	0	0	1	11080.3
161186	0	0	0	1	11129.1
137399	1	0	0	0	11135.8
210089	0	0	0	1	11184.2
231059	0	0	0	1	11190.2
29427	0	0	0	1	11209.6
244562	0	0	0	1	11247.6
14515	0	0	0	1	11395.8
197822	1	0	0	0	11421.2
160154	1	0	0	0	11433.5
192154	0	0	0	1	11563.6
122052	1	0	0	0	11644
203543	1	0	0	1	11649.8
51913	0	0	0	1	11721.1
54049	0	0	0	1	11721.1
231587	1	0	0	0	11858.2
236212	0	0	0	1	11928.9
194889	0	0	0	1	12023.8
124952	0	0	1	1	12025.1
124957	0	0	1	1	12025.1
170215	0	0	1	1	12025.1
170231	0	0	1	1	12025.1
170240	0	0	1	1	12025.1
13196	1	0	0	0	12064.1
213138	1	0	0	1	12073.2
247358	0	0	0	1	12073.4
209418	0	0	0	1	12125.1
208777	1	0	0	0	12215.9
19826	0	0	0	1	12233.3
243338	1	0	0	0	12284.7
69064	1	0	0	0	12328.6
216417	0	0	0	1	12336.4
226667	0	0	0	1	12408.4
105783	0	0	0	1	12448.6
114973	0	0	0	1	12448.6
